QRS_duration,RR_interval,PQ_interval,QT_interval,file_name,,,,,,,,,
90.12,933.42,111.84,328.59,64.28,cycle_ecg_b3_b1_0.00850.0032.csv,,,,,,,,
90.78,933.77,110.82,329.63,64.26,cycle_ecg_b3_b1_0.00850.0033.csv,,,,,,,,
91.57,934.54,109.25,331.14,64.2,cycle_ecg_b3_b1_0.00850.0034.csv,,,,,,,,
91.78,935.07,108.05,332.07,64.17,cycle_ecg_b3_b1_0.00850.0035.csv,,,,,,,,
90.32,935.77,109.3,330.54,64.12,cycle_ecg_b3_b1_0.00850.0036.csv,,,,,,,,
91.05,936.34,107.96,332.2,64.08,cycle_ecg_b3_b1_0.00850.0037.csv,,,,,,,,
90.96,936.72,107.33,332.07,64.05,cycle_ecg_b3_b1_0.00850.0038.csv,,,,,,,,
91.19,937.35,106.93,332.26,64.01,cycle_ecg_b3_b1_0.00850.0039.csv,,,,,,,,
91.17,925.65,106.82,322.88,64.82,cycle_ecg_b3_b1_0.00860.0030.csv,,,,,,,,
91,926.12,106.95,321.68,64.79,cycle_ecg_b3_b1_0.00860.0031.csv,,,,,,,,
92.01,926.7,106.2,321.35,64.75,cycle_ecg_b3_b1_0.00860.0032.csv,,,,,,,,
91.91,927.29,106.68,320.06,64.7,cycle_ecg_b3_b1_0.00860.0033.csv,,,,,,,,
93.02,927.61,106.29,320.06,64.68,cycle_ecg_b3_b1_0.00860.0034.csv,,,,,,,,
92.34,928.33,107.93,318.98,64.63,cycle_ecg_b3_b1_0.00860.0035.csv,,,,,,,,
90.9,928.85,109.7,315.2,64.6,cycle_ecg_b3_b1_0.00860.0036.csv,,,,,,,,
92.15,929.37,108.04,318.08,64.56,cycle_ecg_b3_b1_0.00860.0037.csv,,,,,,,,
91.89,929.56,108.19,332.3,64.55,cycle_ecg_b3_b1_0.00860.0038.csv,,,,,,,,
90.91,933.84,89.94,331.6,64.25,cycle_ecg_b3_b1_0.00860.0039.csv,,,,,,,,
85.55,919.77,93.2,323.57,65.23,cycle_ecg_b3_b1_0.00870.0031.csv,,,,,,,,
91.78,920.33,111.28,329.72,65.19,cycle_ecg_b3_b1_0.00870.0032.csv,,,,,,,,
92.98,920.77,110.03,330.32,65.16,cycle_ecg_b3_b1_0.00870.0033.csv,,,,,,,,
85.6,921.15,93.34,323.5,65.14,cycle_ecg_b3_b1_0.00870.0034.csv,,,,,,,,
89.23,921.65,92.37,327.27,65.1,cycle_ecg_b3_b1_0.00870.0035.csv,,,,,,,,
91.14,922.01,91.38,328.96,65.08,cycle_ecg_b3_b1_0.00870.0036.csv,,,,,,,,
90.04,922.5,91.58,328.14,65.04,cycle_ecg_b3_b1_0.00870.0037.csv,,,,,,,,
88.02,922.97,91.5,326.98,65.01,cycle_ecg_b3_b1_0.00870.0038.csv,,,,,,,,
87.68,923.42,89.92,327.38,64.98,cycle_ecg_b3_b1_0.00870.0039.csv,,,,,,,,
90.88,915.85,112.18,330.35,65.51,cycle_ecg_b3_b1_0.00870.0030.csv,,,,,,,,
84.51,932.98,99.15,321.92,64.31,cycle_ecg_b3_b1_0.0087_b1_0.01000.0032.csv,,,,,,,,
